�������1;date;full_text;link
SynaXG Unveils New O-RAN and AI Solutions at MWC Barcelona 2024;February 21, 2024;"SynaXG announced it will unveil its 5G Open Radio Access Network (O-RAN) platforms and technologies at MWC Barcelona 2024.
";https://www.microwavejournal.com/articles/41515-synaxg-unveils-new-o-ran-and-ai-solutions-at-mwc-barcelona-2024
Rohde & Schwarz First to Test 5G eCall Interoperability of Quectel’s 5G Module with  Wideband Radio Communication Tester;February 21, 2024;Quectel Wireless Solutions and Rohde & Schwarz have successfully validated Quectel’s innovative 5G eCall module, part of the AG56xN series of automotive modules. ;https://www.microwavejournal.com/articles/41504-rohde-and-schwarz-first-to-test-5g-ecall-interoperability-of-quectels-5g-module-with-wideband-radio-communication-tester
Türk Telekom & Parallel Wireless Extend Partnership With GreenRAN™ Software & First 5G AMD-Based mMIMO;February 21, 2024;Parallel Wireless and Türk Telekom expanded their collaboration on Open RAN initiatives with the integration of Parallel Wireless’s Open RAN 2G, 3G and 4G technology within Türk Telekom’s field trial infrastructure.;https://www.microwavejournal.com/articles/41503-turk-telekom-and-parallel-wireless-extend-partnership-with-greenran-software-and-first-5g-amd-based-mmimo
Spirent Report: 5G Standalone and Private Networks Ready to be Unleashed;February 20, 2024;"Spirent Communications plc released its fifth annual 5G outlook report, based on analysis and takeaways from over 500 new global 5G engagements in 2023.
";https://www.microwavejournal.com/articles/41500-spirent-report-5g-standalone-and-private-networks-ready-to-be-unleashed
RAN Market Shows Faint Signals of Life in 4Q 2023;February 20, 2024;"According to a recently published report from Dell’Oro Group, preliminary findings reveal that the RAN market concluded the year with another difficult quarter, resulting in a global decrease of nearly $4 billion in RAN revenues for the full year of 2023.
";https://www.microwavejournal.com/articles/41496-ran-market-shows-faint-signals-of-life-in-4q-2023
Anritsu Enhances Test Station MT8000A to Support 6 GHz Band RF Test for 5G FR1 Devices;February 15, 2024;"Anritsu Company introduces the 5G New Radio Licensed 6 GHz Band Measurement MX800010A-014 software that extends the measurement capability of its Radio Communication Test Station MT8000A.
";https://www.microwavejournal.com/articles/41491-anritsu-enhances-test-station-mt8000a-to-support-6-ghz-band-rf-test-for-5g-fr1-devices
Rohde & Schwarz Enables Qualcomm to Pioneer New Frequency Ranges for Future 5G-A and 6G networks;February 15, 2024;Rohde & Schwarz technology plays a key role in enabling Qualcomm Technologies to show the readiness and effectiveness of the latest RF modem technology for FR3.;https://www.microwavejournal.com/articles/41485-rohde-and-schwarz-enables-qualcomm-to-pioneer-new-frequency-ranges-for-future-5g-advanced-and-6g-networks
Rohde & Schwarz Collaborates with Sony Semiconductor Israel to Reach Milestones for NTN NB-IoT Rollout;February 14, 2024;In collaboration with Sony, Rohde & Schwarz has successfully validated and verified Sony’s Altair device for its NTN NB-IoT capability. ;https://www.microwavejournal.com/articles/41472-rohde-and-schwarz-collaborates-with-sony-semiconductor-israel-to-reach-milestones-for-ntn-nb-iot-rollout
5G Must be Simpler Than it is Today;February 13, 2024;"Rohde & Schwarz will present a 5G-V2X test setup with the R&S CMP180 and a third-generation chipset from Autotalks at the Mobile World Congress 2024 at the Fira Gran Via in Barcelona in hall 5, booth 5A80. 
";https://www.microwavejournal.com/blogs/25-5g/post/41471-5g-must-be-simpler-than-it-is-today
Rohde & Schwarz and Autotalks Collaborate to Verify First 5G-V2X Chipset ;February 13, 2024;Rohde & Schwarz has partnered with Slalom for a test bed for XR-based use cases.;https://www.microwavejournal.com/articles/41465-rohde-and-schwarz-and-autotalks-collaborate-to-verify-first-5g-v2x-chipset
Rohde & Schwarz and Slalom Join Forces to Realize 5G-enabled AR-Animated Avatar Calls;February 8, 2024;Verizon and Ericsson recently completed a trial of advanced low latency, low-loss, scalable throughput (L4S) capabilities that will optimize Verizon’s 5G network for more robust solutions.;https://www.microwavejournal.com/articles/41434-rohde-and-schwarz-and-slalom-join-forces-to-realize-5g-enabled-ar-animated-avatar-calls
Ericsson and Verizon Advance 5G Capabilities with L4S Trial Success;February 6, 2024;The GSOA and the ESA announced a significant milestone in their collaborative efforts to cooperate in the areas of space-based 5G and 6G ecosystem, innovation of 5G and 6G networks and the integration of satellite and terrestrial networks and technologies.;https://www.microwavejournal.com/articles/41427-ericsson-and-verizon-advance-5g-capabilities-with-l4s-trial-success
GSOA & ESA Strengthen Collaboration to Foster 5G & 6G Space-Based Systems;February 6, 2024;The demand for low transmission loss, or low-loss, materials for 5G applications is buoying the market to surpass USD$2.1 billion by 2034, as predicted by IDTechEx’s new report, “Low-Loss Materials for 5G and 6G 2024-2034: Markets, Trends, Forecasts.”;https://www.microwavejournal.com/articles/41421-gsoa-and-esa-strengthen-collaboration-to-foster-5g-and-6g-space-based-systems
Buoyed by mmWave 5G, Low-Loss Materials for 5G Market to Surpass US$2.1B by 2034;February 5, 2024;"Keysight Technologies, Inc. has extended the number of its test cases available for the Skylo Technologies non-terrestrial network (NTN) certification program to 21.
";https://www.microwavejournal.com/articles/41419-buoyed-by-mmwave-5g-low-loss-materials-for-5g-market-to-surpass-us21b-by-2034
Keysight Leads Skylo NTN Certification Program with Validated Test Cases;February 1, 2024;At the recent O-RAN ALLIANCE Global PlugFest Fall 2023, Rohde & Schwarz and VIAVI Solutions presented their integrated solution for automated conformance testing of O-RAN radio units.;https://www.microwavejournal.com/articles/41412-keysight-leads-skylo-ntn-certification-program-with-validated-test-cases
Rohde & Schwarz and VIAVI Verify NEC O-RU Design at O-RAN Global PlugFest Fall 2023 ;January 31, 2024;"Keysight Technologies, Inc. gained approval for the industry’s first 3GPP Rel-16 5G NR single and multiple PMI test cases for 16 and 32 element transmitters operating on the FDD and TDD bands.
";https://www.microwavejournal.com/articles/41404-rohde-and-schwarz-and-viavi-verify-nec-o-ru-design-at-o-ran-global-plugfest-fall-2023
Keysight Gains Validation for First 3GPP Rel-16 16/32 Transmitter Performance Enhancement Test Cases;January 29, 2024;N/A;https://www.microwavejournal.com/articles/41397-keysight-gains-validation-for-first-3gpp-rel-16-16-32-transmitter-performance-enhancement-test-cases
ATIS and EU Smart Networks and Services Joint Undertaking Publish “Beyond 5G & 6G Roadmap” for EU-US Collaboration;January 29, 2024;"ATIS’ Next G Alliance and the 6G Industry Association
 announced publication of the “EU-US Beyond 5G/6G Roadmap” — a major first step in affirming the two regions’ commitment to collaborating in the development of 6G networks. 
";https://www.microwavejournal.com/articles/41394-atis-and-eu-smart-networks-and-services-joint-undertaking-publish-beyond-5g-and-6g-roadmap-for-eu-us-collaboration
Parallel Wireless Partners with SOLiD to Reduce Open RAN-DAS Power Demand by 81%;January 29, 2024;"Parallel Wireless and SOLiD have partnered to help service providers to dramatically reduce their solution footprint and operating costs by reducing complexity, price, required real estate and power consumption, which can now be reduced by more than 80 percent.
";https://www.microwavejournal.com/articles/41392-parallel-wireless-partners-with-solid-to-reduce-open-ran-das-power-demand-by-81
5G-Advanced and 6G Networks Will Need Additional Spectrum;January 24, 2024;"5G Americas has released a white paper titled, ""The Evolution of 5G Spectrum"" that provides insights into the future of mobile networks, emphasizing the critical role of licensed spectrum for the successful rollout of 5G-Advanced and future 6G capabilities.
";https://www.microwavejournal.com/articles/41384-5g-advanced-and-6g-networks-will-need-additional-spectrum
GCF Announces Certification of 3GPP Satellite Connectivity;January 17, 2024;The Global Certification Forum (GCF) announced that it is adding support for satellite communications and non-terrestrial networks to its device certification programme.;https://www.microwavejournal.com/articles/41346-gcf-announces-certification-of-3gpp-satellite-connectivity
FWA Equipment Spend to Exceed $40B Over the Next Five Years ;January 16, 2024;According to a recently published report by Dell’Oro Group, FWA has surged in recent years to support both residential and enterprise connectivity due to its ease of deployment along with the more widespread availability of 4G LTE and 5G sub-6 GHz networks.;https://www.microwavejournal.com/articles/41340-fwa-equipment-spend-to-exceed-40b-over-the-next-five-years
ALifecom Showcased IoT-NTN and Wi-Fi 7 Core Technologies at Tech Day 2024;January 16, 2024;ALifecom, the premier IP service and test solution provider for wireless communication in Taiwan, hosted its Tech Day 2024 on January 12. ;https://www.microwavejournal.com/articles/41337-alifecom-showcased-iot-ntn-and-wifi-7-core-technologies-at-tech-day-2024
Running IoT Through the Skies;January 15, 2024;Rice University engineers are developing a cutting-edge testing framework to assess the stability, interoperability, energy efficiency and communication performance of software-based machine learning-enabled 5G RAN.;https://www.microwavejournal.com/blogs/25-5g/post/41334-running-iot-through-the-skies
Rice Researchers Revolutionizing 5G Network Testing;January 12, 2024;"Viavi Solutions Inc. announced that the U.S. NTIA awarded the company a grant over a three-year performance period for the VIAVI Automated Lab-as-a-Service for Open RAN (VALOR).
";https://www.microwavejournal.com/articles/41332-rice-researchers-revolutionizing-5g-network-testing
U.S. NTIA Awards Funding to VIAVI Automated Lab-as-a-Service for Open RAN;January 11, 2024;SCALINX has successfully concluded its second funding round, securing a global investment of €34 million.;https://www.microwavejournal.com/articles/41330-us-ntia-awards-funding-to-viavi-automated-lab-as-a-service-for-open-ran
SCALINX Secures €34M in Second Round Funding;January 10, 2024;N/A;https://www.microwavejournal.com/articles/41323-scalinx-secures-34m-in-second-round-funding
5G Americas Explores 3GPP's Release 18 and Beyond in 5G-Advanced;January 10, 2024;5G Americas has released a white paper titled ‘3GPP Technology Trends’ which provides a detailed overview of the 3GPP and its journey towards 5G-Advanced that begins with Release 18.;https://www.microwavejournal.com/articles/41321-5g-americas-explores-3gpps-release-18-and-beyond-in-5g-advanced
ZTE and China Mobile Propel SPN/MTN Evolution with ITU-T's Release of Fine Grain International Standards;January 4, 2024;ZTE Corporation, in collaboration with China Mobile and industry partners, has proposed new international standards for the Slicing Packet Network (SPN)/Metro Transport Networks (MTN) series.;https://www.microwavejournal.com/articles/41288-zte-and-china-mobile-propel-spn-mtn-evolution-with-itu-ts-release-of-fine-grain-international-standards
Space Force Launches 21 Starlink Satellites;January 3, 2024;Falcon 9 launched 21 Starlink satellites to low-earth orbit from Space Launch Complex 4 East (SLC-4E) at Vandenberg Space Force Base. ;https://www.microwavejournal.com/articles/41284-space-force-launches-21-starlink-satellites
5G Needs Microwave in Backhaul;December 13, 2023;Parallel Wireless, Inc. announced the successful operation of its 5G Open RAN hardware-agnostic solution in the U.K. ;https://www.microwavejournal.com/articles/41213-5g-needs-microwave-in-backhaul
Parallel Wireless 5G Open RAN SW Runs on Both Arm and X86-Powered DUs in Bristol;December 12, 2023;T-Mobile worked with Ericsson and Qualcomm to pull off another 5G first, testing 5G standalone mmWave on its production network, delivering speeds topping 4.3 Gbps.;https://www.microwavejournal.com/articles/41232-parallel-wireless-5g-open-ran-sw-runs-on-both-arm-and-x86-powered-dus-in-bristol
T-Mobile Revs Up Millimeter Wave with 5G Standalone;December 6, 2023;Ericsson and AT&T are collaborating in an industry-defining roughly USD 14 billion five-year network transformation and digitalization strategic agreement to pioneer the path to programmable and intelligent networks of the future. ;https://www.microwavejournal.com/articles/41201-t-mobile-revs-up-millimeter-wave-with-5g-standalone
Ericsson and AT&T Collaborate to Pioneer Networks of the Future;December 5, 2023;The R&S TS8991 OTA test system from Rohde & Schwarz is the first to be approved by CTIA Certification for testing 5G A-GNSS antenna performance. ;https://www.microwavejournal.com/articles/41191-ericsson-and-at-and-t-collaborate-to-pioneer-networks-of-the-future
OTA Test System:  R&S TS8991 ;December 5, 2023;"The November 2023 edition of the Ericsson Mobility Report, which estimates that there will be 610 million new 5G subscriptions for the calendar year 2023, bringing the global total to 1.6 billion, about 100 million more than previously predicted.
";https://www.microwavejournal.com/articles/41183-rohde-and-schwarz-first-to-deliver-a-5g-fr1-a-gnss-ota-test-solution-approved-by-ctia-certification
Ericsson Mobility Report: Resilient 5G Uptake;November 30, 2023;"5G Americas has released a white paper titled ""Open RAN Update"" which outlines how Open RAN is progressing towards multi-vendor interoperability and a competitive environment with diverse supply chains.";https://www.microwavejournal.com/articles/41179-ericsson-mobility-report-resilient-5g-uptake
Open Radio Access Networks Demonstrate Market Momentum;November 29, 2023;N/A;https://www.microwavejournal.com/articles/41174-open-radio-access-networks-demonstrate-market-momentum
TMYTEK Unveils Wideband FR2/FR3 Testing Solution for Mass Production of mmWave Chipsets, Modules and Devices at MWE 2023;November 27, 2023;TMYTEK will showcase their wideband mmWave production testing solution covering FR2 to FR3 at the 2023 Microwave Workshops and Exhibition (MWE) in Pacifico Yokohama. ;https://www.microwavejournal.com/articles/41167-tmytek-unveils-wideband-fr2-fr3-testing-solution-for-mass-production-of-mmwave-chipsets-modules-and-devices-at-mwe-2023
Keysight and MediaTek Successfully Complete 5G NR and RedCap Interoperability Testing;November 27, 2023;"Keysight Technologies, Inc. and MediaTek have successfully completed 5G NR and 5G RedCap interoperability development testing based on the 3GPP Release 17 standard. 
";https://www.microwavejournal.com/articles/41165-keysight-and-mediatek-successfully-complete-5g-nr-and-redcap-interoperability-testing
5G Horizons: Unleashing Connectivity in Private Networks;November 22, 2023;"Yole Intelligence has combined its long expertise in semiconductors and its deep knowledge of RF technologies and markets to deliver the new ""RF for Private Network 2023"" report. ";https://www.microwavejournal.com/articles/41161-5g-horizons-unleashing-connectivity-in-private-networks
Mobile Core Network Market is on a Roller Coaster Ride, Dips Big in 3Q 2023;November 21, 2023;"According to a recently published report from Dell’Oro Group, the Mobile Core Network (MCN) market has become erratic, with the lowest growth rate since 4Q 2017. 
";https://www.microwavejournal.com/articles/41159-mobile-core-network-market-is-on-a-roller-coaster-ride-dips-big-in-3q-2023
Viasat and Skylo Technologies Launch First Global Direct-to-Device Network;November 16, 2023;"Viasat, Inc. and Skylo Technologies announced the launch of the industry's first global direct-to-device network. 
";https://www.microwavejournal.com/articles/41139-viasat-and-skylo-technologies-launch-first-global-direct-to-device-network
Anritsu Introduces Butler Matrix Module that Simulates 8x8 MIMO Connection to Support All 5G FR1 Bands;November 16, 2023;"Anritsu Company introduces its butler matrix 8x8 MA8118A module that simulates 8x8 MIMO connections for efficient 5G UE throughput tests. 
";https://www.microwavejournal.com/articles/41135-anritsu-introduces-butler-matrix-module-that-simulates-8x8-mimo-connection-to-support-all-5g-fr1-bands
Next-Generation Ericsson RAN Compute Breaks Ground in Network Processing Power;November 14, 2023;"Ericsson announced the latest generation of processors in the Ericsson RAN Compute portfolio to help CSPs get the most out of current and future radio access technology evolutions.
";https://www.microwavejournal.com/articles/41125-next-generation-ericsson-ran-compute-breaks-ground-in-network-processing-power
Lockheed Martin Prepares First 5G.MIL® Payload for Orbit;November 14, 2023;In its final successful lab demonstration, Lockheed Martin validated that its 5G.MIL®space payload is set to deliver global advanced communications capabilities from orbit.  ;https://www.microwavejournal.com/articles/41121-lockheed-martin-prepares-first-5gmil-payload-for-orbit
Top-Side Cooling Enables 5G Active Antenna Systems;November 14, 2023;N/A;https://www.microwavejournal.com/articles/41094-top-side-cooling-enables-5g-active-antenna-systems
5G NR Challenges and Trends in RFFE Design;November 14, 2023;N/A;https://www.microwavejournal.com/articles/41093-5g-nr-challenges-and-trends-in-rffe-design
5G Non-Terrestrial Networks Take Flight With New Radio and IoT Applications;November 14, 2023;"Fairview Microwave introduces its new series of 5G amplifiers, addressing a vast frequency spectrum ranging from 10 MHz up to 8 GHz. 

";https://www.microwavejournal.com/articles/41090-5g-non-terrestrial-networks-take-flight-with-new-radio-and-iot-applications
Series of 5G Amplifiers;November 10, 2023;A new 5G Americas white paper maps expansive realm of 5G use cases, detailing network architecture advances and shedding light on FWA and private 5G networks.;https://www.microwavejournal.com/articles/41106-fairview-microwave-introduces-series-of-5g-amplifiers
Commercial Applications Emerging for 5G Use Case;November 9, 2023;Keysight collaborated with Metanoia to verify the low physical layer 5G O-RU JURA Platform using the end-to-end Keysight Open RAN Studio solution.;https://www.microwavejournal.com/articles/41088-commercial-applications-emerging-for-5g-use-case
Keysight and Metanoia Validate 5G Low Physical Layer Open Radio Unit;November 9, 2023;At the 5G Smart Factory Forum, Huawei stated that 5G-powered innovative solutions, including self-driving vehicles, artificial intelligence (AI)-driven quality control and AR-assisted remote maintenance, will serve as the typical applications and basic capabilities of future smart factories.;https://www.microwavejournal.com/articles/41087-keysight-and-metanoia-validate-5g-low-physical-layer-open-radio-unit
Huawei Promotes Innovative 5G Solutions for Industry 4.0 Infrastructure;November 9, 2023;"Keysight Technologies, Inc. has validated the first protocol conformance test case for 3GPP Rel-17 standards for non-terrestrial networks using narrowband IoT technology.
";https://www.microwavejournal.com/articles/41086-huawei-promotes-innovative-5g-solutions-for-industry-40-infrastructure
Keysight Validates First Test Case for 3GPP Release 17 NTNs Standard;November 8, 2023;"Qualcomm's
 Snapdragon X35 brings a new class of 5G that bridges the complexity gap between high speed mobile broadband devices and extremely low bandwidth IoT devices. 
";https://www.microwavejournal.com/articles/41084-keysight-validates-first-test-case-for-3gpp-release-17-ntns-standard
Qualcomm Propels Global Expansion of 5G RedCap with Snapdragon X35 5G Modem-RF System;November 7, 2023;Picocom announced that it has launched PC805, a new system-on-chip (SoC) optimised for 5G small cell Open RAN radio units. ;https://www.microwavejournal.com/articles/41069-qualcomm-propels-global-expansion-of-5g-redcap-with-snapdragon-x35-5g-modem-rf-system
Picocom Introduces Industry’s First SoC for 5G Small Cell Open RAN RUs;November 2, 2023;"ZTE Corporation has unveiled a groundbreaking digital twin-based antenna and RIS intelligent planning open service for smart ports in collaboration with China Mobile at the 2023 China Mobile Global Partner Conference. 
";https://www.microwavejournal.com/articles/41052-picocom-introduces-industrys-first-soc-for-5g-small-cell-open-ran-rus
China Mobile and ZTE Unveil Digital Twin-based Antenna and RIS Planning Open Service for Smart Ports;October 31, 2023;Pasternack has announced its latest series of 5G amplifiers, a harmonious blend of cost-effectiveness and performance designed to drive projects forward in the 5G realm.;https://www.microwavejournal.com/articles/41036-china-mobile-and-zte-unveil-digital-twin-based-antenna-and-ris-planning-open-service-for-smart-ports
Next-Generation Line of 5G Amplifiers;October 30, 2023;N/A;https://www.microwavejournal.com/articles/41034-pasternack-unveils-next-generation-line-of-5g-amplifiers
Global RF Signal Generator Market Report 2023-2029: Increasing Focus on 5G-related Test Analysis and Automated Test Equipment Enhances Growth Potential;October 27, 2023;"The ""Global Radio Frequency (RF) Signal Generator Growth Opportunities"" report has been added to ResearchAndMarkets.com's offering.";https://www.microwavejournal.com/articles/41053-global-rf-signal-generator-market-report-2023-2029-increasing-focus-on-5g-related-test-analysis-and-automated-test-equipment-enhances-growth-potential
5G Devices Are Evolving Beyond Smartphones to Battery-less IoT;October 26, 2023;"A new briefing paper from 5G Americas details the dynamic trajectory of 5G devices, from ubiquitous smartphones to pioneering RedCap and battery-less ambient IoT devices, highlighting the versatile future of 5G technology.
";https://www.microwavejournal.com/articles/41024-5g-devices-are-evolving-beyond-smartphones-to-battery-less-iot
Ericsson and Senai-SP Collaborate to Prepare 30,000 Students for a 5G-Enabled Future;October 25, 2023;Ericsson and Senai - SP have established a partnership to implement the “Ericsson Educate: 5G University” program to provide an in-depth training on 5G technologies and standards and increasing the high-level digital skills and competences of Senai teachers and students.;https://www.microwavejournal.com/articles/41015-ericsson-and-senai-sp-collaborate-to-prepare-30-000-students-for-a-5g-enabled-future
Huawei Unveils Smart Fire Detection Solution Using 5G, AI and Drones;October 25, 2023;Huawei, in cooperation with startup company PROBOTEK, launched its early fire detection use case in Cyprus' capital Nicosia. ;https://www.microwavejournal.com/articles/41014-huawei-unveils-smart-fire-detection-solution-using-5g-ai-and-drones
5G Technology Market Size to Grow by $128.46B Between 2021 - 2026;October 24, 2023;The report, “5G Technology Market by Component, Application, and Geography - Forecast and Analysis 2023-2027,” from Technavio, offers an up-to-date analysis regarding the current market scenario, the latest trends and drivers and the overall market environment.;https://www.microwavejournal.com/articles/41008-5g-technology-market-size-to-grow-by-12846b-between-2021-2026
5GAA Publishes Comprehensive Guidance for Deployment of C-V2X Day 1 Safety Services;October 23, 2023;"A coalition of industry leaders has released a comprehensive guidance aimed at infrastructure owners and operators for the deployment of vehicle-to-everything (V2X) technology, specifically focused on C-V2X direct communication at 5.9 GHz in the U.S.
";https://www.microwavejournal.com/articles/41009-5gaa-publishes-comprehensive-guidance-for-deployment-of-c-v2x-day-1-safety-services
Anritsu and dSPACE to Showcase Digital Twin for Improved VRU Protection at 5GAA Meeting Week;October 20, 2023;Anritsu, in collaboration with dSPACE, has developed an advanced digital twin simulation environment designed to provide improved protection for vulnerable road users.;https://www.microwavejournal.com/articles/40993-anritsu-and-dspace-to-showcase-digital-twin-for-improved-vru-protection-at-5gaa-meeting-week
Anritsu Introduces Uplink Interference Solution for 5G and LTE Networks;October 18, 2023;Anritsu Company announces enhanced functionality to its Field Master™ spectrum analyzer LTE and 5G measurement options.;https://www.microwavejournal.com/articles/40986-anritsu-introduces-uplink-interference-solution-for-5g-and-lte-networks
DNB, TM and ZTE Collaborate on Fastest 28 Gbps 5G mmWave Live Trial;October 18, 2023;Digital Nasional Berhad (DNB), TM and ZTE Corporation have forged a strategic alliance to unveil the world's fastest 5G live trial which will deliver remarkable speeds up to 28 Gbps.;https://www.microwavejournal.com/articles/40979-dnb-tm-and-zte-collaborate-on-fastest-28-gbps-5g-mmwave-live-trial
Appalachian Wireless Selects Ericsson 5G;October 16, 2023;Ericsson announced that they have been chosen by Appalachian Wireless for a multi-year RAN modernization project to bring world-class 5G technologies to underserved communities in Appalachia. ;https://www.microwavejournal.com/articles/40972-appalachian-wireless-selects-ericsson-5g
5G Set to Surpass 4G LTE by Over Two Billion Connections in the First Decade;October 12, 2023;"5G isn’t just the fastest-growing generation of wireless cellular technology; it’s on course to become the most widely-adopted, exceeding 4G LTE by over 2.5 billion connections in 2028, according to 5G America and data from Omdia.";https://www.microwavejournal.com/articles/40963-5g-set-to-surpass-4g-lte-by-over-two-billion-connections-in-the-first-decade
Huawei and Industry Partners Set Sail for Global RedCap Commercial Release;October 12, 2023;"At the Global Mobile Broadband Forum (MBBF) 2023, Huawei and its industry partners released the latest commercial RedCap achievements, demonstrating that RedCap has entered large-scale commercial use worldwide.
";https://www.microwavejournal.com/articles/40955-huawei-and-industry-partners-set-sail-for-global-redcap-commercial-release
Microwave Technology Advances to Meet Rising Demand for 5G Wireless Backhaul;October 12, 2023;"The potential of E-Band to fulfill the backhaul capacity needs of most 5G deployments beyond 2030 is among the key topics of the Microwave Outlook 2023 report from Ericsson.
";https://www.microwavejournal.com/articles/40954-microwave-technology-advances-to-meet-rising-demand-for-5g-wireless-backhaul
Picocom Collaborates with Texas Instruments on 5G O-RAN Outdoor Radio Unit Reference Design;October 10, 2023;"Picocom announced that it has collaborated with Texas Instruments (TI) on a complete 5G Open RAN small cell radio unit reference design to help accelerate customers’ time-to-market. 
";https://www.microwavejournal.com/articles/40947-picocom-collaborates-with-texas-instruments-on-5g-o-ran-outdoor-radio-unit-reference-design
5G IoT Market Size to Grow by US$77.59B in 2022 - 2027, Growth Driven by Rising Adoption of 5G Technology;October 10, 2023;Technavio has announced its latest market research report titled Global 5G IoT Market 2023-2027.;https://www.microwavejournal.com/articles/40987-5g-iot-market-size-to-grow-by-us7759b-in-2022-2027-growth-driven-by-rising-adoption-of-5g-technology
Presto Engineering Collaborates with Nokia as Part of France 2030 Investment Plan;October 5, 2023;Presto Engineering announced its collaboration with Nokia for the industrialization of new equipment designed to build the foundations of the next generation of microwave links as part of the DIMIT project, supported by the French Public Investment Bank (BPI).;https://www.microwavejournal.com/articles/40929-presto-engineering-announces-its-collaboration-with-nokia-as-part-of-france-2030-investment-plan
VIAVI Launches NITRO® Wireless;October 4, 2023;Viavi Solutions Inc. announced the availability of NITRO® Wireless, a portfolio of solutions enabling all participants in the ecosystem to accelerate technology development by validating performance at each stage. ;https://www.microwavejournal.com/articles/40917-viavi-launches-nitro-wireless
