Date,Title,Full Text,Link
"March 21, 2024",Quadsat and Eutelsat Group Introduce New Drone-Based Method for Earth Station Verification Testing,Quadsat has partnered with the Eutelsat Group to define a new method for conducting Earth Station Verification Assistance (ESVA) tests. QuadSat’s measurement technology enable... Read More,/news/details/18069-quadsat-and-eutelsat-group-introduce-new-drone-based-method-for-earth-station-verification-testing
"March 20, 2024","Arctic Introduces a Low-Power, High Performance Multi-Stage Transceiver for Satellite Applications","Arctic Semiconductor, one of the pioneers in low-power, versatile RF, and mixed-signal chipsets, has introduced SilverWings. Representing a breakthrough in the industry, Silve... Read More",/news/details/18062-arctic-introduces-a-low-power-high-performance-multi-stage-transceiver-for-satellite-applications
"March 20, 2024",MDA Space Unveils Software-Defined Satellite Product Line for the Satellite Industry,"MDA Space, a trusted mission partner to the rapidly expanding global space industry, has unveiled AURORA, a new software-defined satellite product line at the Satellite 2024 C... Read More",/news/details/18068-mda-space-unveils-software-defined-satellite-product-line-for-the-satellite-industry
"March 20, 2024",Kymeta Announces Shipping of its Multi-Orbit Terminal for Military Applications,"At the SATELLITE 2024 show in DC this week, Kymeta announced that the Osprey u8 HGL, a hybrid geostationary/low Earth orbit (GEO/LEO/LTE) terminal purpose-built for military u... Read More",/news/details/18066-kymeta-announces-shipping-of-its-multi-orbit-terminal-for-military-applications
"March 20, 2024",MatSing Extends the use of its Lens Antenna Solutions to the Satellite Industry,"MatSing, the pioneer of Luneburg Lens antennas, has announced the extension of its portfolio of multibeam lens solutions for telecom to now support satellite applications. The... Read More",/news/details/18065-matsing-extends-the-use-of-its-lens-antenna-solutions-to-the-satellite-industry
"March 19, 2024",MACOM Showcases its Latest Products for Space and Hi-Reliability Applications at SATELLITE 2024,"MACOM Technology Solutions Inc. (“MACOM”), a supplier of semiconductor products, is showcasing its latest products for space and hi-reliability applications at the SATELLITE 2... Read More",/news/details/18057-macom-showcases-its-latest-products-for-space-and-hi-reliability-applications-at-satellite-2024
"March 19, 2024",ALifecom Introduces its IoT Platform for Non-Terrestrial Networks at SATELLITE 2024,"At the SATELLITE 2024 Show in Washington, D.C. this week, ALifecom has released its Non-Terrestrial Networks IoT Platform. This platform is the industry's first integrated sol... Read More",/news/details/18056-alifecom-introduces-its-iot-platform-for-non-terrestrial-networks-at-satellite-2024
"March 19, 2024",ReliaSat Introduces Multi-Stage Modular Low-Noise Amplifier from 21 to 31 GHz,"ReliaSat, a leading manufacturer of high-frequency satellite communications technology for high data rate requirements, has introduced the LNA11202131SS multi-stage modular lo... Read More",/news/details/18061-reliasat-introduces-multi-stage-modular-low-noise-amplifier-from-21-to-31-ghz
"March 18, 2024",Telesat Certifies ThinKom's ThinAir Antenna for its LEO Satellite Network,"Telesat, one of the world’s largest and most innovative satellite operators, and ThinKom Solutions, Inc., a leading designer and manufacturer of high performance satcom antenn... Read More",/news/details/18050-telesat-certifies-thinkom-s-thinair-antenna-for-its-leo-satellite-network
"March 18, 2024",CMSE 2024 Conference and Exhibition to Feature Latest Insights in Military & Space Electronics,"The 27th annual Components for Military & Space Electronics (CMSE) Conference & Exhibition will be held in Los Angeles, California April 30 – May 2, 2024. CMSE is the industry... Read More",/news/details/18055-cmse-2024-conference-and-exhibition-to-feature-latest-insights-in-military-space-electronics
"March 18, 2024",Reticulate Micro to Showcase its New VAST and VESPER Capabilities at SATELLITE 2024,"Reticulate Micro, a defense technology provider of trusted and resilient communications,  has announced its presence at the SATELLITE 2024 Conference and Exhibition, hosted in... Read More",/news/details/18051-reticulate-micro-to-showcase-its-new-vast-and-vesper-capabilities-at-satellite-2024
"March 15, 2024",J.F Lehman & Company Completes Acquisition of Mission Microwave Technologies,"J.F. Lehman & Company (""JFLCO""), a leading middle-market private equity firm focused exclusively on the aerospace, defense, maritime, government and environmental sector, anno... Read More",/news/details/18045-j-f-lehman-company-completes-acquisition-of-mission-microwave-technologies
"March 14, 2024",Cubic to Display High-Performance Microelectronics Solutions for Mission-Critical Applications at Satellite 2024,"Cubic, a leading global provider of innovative and mission-critical solutions for defense, intelligence, and commercial customers, will showcase its portfolio of mission-criti... Read More",/news/details/18041-cubic-to-display-high-performance-microelectronics-solutions-for-mission-critical-applications-at-satellite-2024
"March 14, 2024",SpacePath Communications to Showcase High-Power mmWave TWT Amplifiers at Satellite 2024,"SpacePath Communications (‘SpacePath’), a provider of high-performance satellite uplink amplifiers and associated equipment for the global SATCOM market, will be showcasing it... Read More",/news/details/18040-spacepath-communications-to-showcase-high-power-mmwave-twt-amplifiers-at-satellite-2024
"March 14, 2024",Reticulate Micro Transmits First-ever Real-time Streaming Video over UHF TACSAT in Army Demonstration,"Reticulate Micro, a defense technology company dedicated to delivering trusted and resilient communications over any transport and in any environment, announced that it succes... Read More",/news/details/18039-reticulate-micro-transmits-first-ever-real-time-streaming-video-over-uhf-tacsat-in-army-demonstration
"March 12, 2024",Trending GNSS Products in 2024: March Edition,"Global Navigation Satellite System (GNSS) encompasses a group of satellite systems used for providing positioning, navigation, and timing services worldwide. GNSS has become a... Read More",/news/details/18028-trending-gnss-products-in-2024-march-edition
"March 12, 2024",mmTron Introduces New GaN Power Amplifier MMIC Design for Ka-Band Satellite Uplink Applications,"mmTron has added a new disruptive power amplifier (PA) design to their satellite communications (SATCOM) portfolio. Designed for the Ka-Band satellite uplink band, the TMC215 ... Read More",/news/details/18026-mmtron-introduces-new-gan-power-amplifier-mmic-design-for-ka-band-satellite-uplink-applications
"March 12, 2024",Hanwha Phasor to Showcase its Portfolio of Flat Panel Antennas at Satellite 2024,"Hanwha Phasor, a global player in satellite communications, will join policymakers, industry experts and other leading figures at the world-renowned space and satellite Confer... Read More",/news/details/18021-hanwha-phasor-to-showcase-its-portfolio-of-flat-panel-antennas-at-satellite-2024
"March 12, 2024",ICEYE Boosts SAR Satellite Constellation with 1200 MHz Radar Bandwidth Tech Demonstrator,"ICEYE, one of the global leaders in persistent monitoring and natural catastrophe solutions, successfully launched three additional synthetic aperture radar (SAR) satellites o... Read More",/news/details/18019-iceye-boosts-sar-satellite-constellation-with-1200-mhz-radar-bandwidth-tech-demonstrator
"March 11, 2024",Quadsat Expands its Range of UAV-based RF Measurement Solutions Ahead of Satellite 2024,"Quadsat, a specialist provider of UAV-based RF measurement solutions, has introduced a new product range of uplink and downlink testing solutions ahead of the Satellite 2024 s... Read More",/news/details/18018-quadsat-expands-its-range-of-uav-based-rf-measurement-solutions-ahead-of-satellite-2024
"March 11, 2024",ThinKom Introduces New Line of Airborne Solutions for Satellite Communication Applications,"ThinKom Solutions, Inc. stands ready to meet the ever-evolving needs of satellite communications with its ThinAir GT line of airborne solutions for government customers. Engin... Read More",/news/details/18015-thinkom-introduces-new-line-of-airborne-solutions-for-satellite-communication-applications
"March 08, 2024",ETL Systems Launches Improved Falcon² Frequency Converters for Satellite Communication Systems,"ETL Systems, a global manufacturer of RF systems and components, has launched the new and improved Falcon² Frequency Converter governing advancement in frequency conversion te... Read More",/news/details/18008-etl-systems-launches-improved-falcon-frequency-converters-for-satellite-communication-systems
"March 08, 2024",Rohde & Schwarz Extends the Frequency Range of its Phase Noise Analyzer + VCO Tester to 50 GHz,"With the latest model of the R&S FSPN phase noise analyzer and VCO tester, Rohde & Schwarz has extended the frequency range for measurements from the previous maximum of 26.5 ... Read More",/news/details/18012-rohde-schwarz-extends-the-frequency-range-of-its-phase-noise-analyzer-vco-tester-to-50-ghz
"March 08, 2024","everything RF Publishes the 2024 ""Satellite & Space Digest"" - A Useful Resource of White Papers and Articles","everything RF, the most popular website for the RF & Microwave industry, has published an eBook titled “Satellite & Space Digest 2024."" This eBook covers various topics relate... Read More",/news/details/18014-everything-rf-publishes-the-2024-satellite-space-digest-a-useful-resource-of-white-papers-and-articles
"March 08, 2024",U.S. Space Force Awards Boeing WGS-12 Communications Satellite Production Contract,Boeing received a $439.6 million contract to build the 12th Wideband Global SATCOM (WGS) communications satellite for U.S. Space Force's Space Systems Command. The WGS constel... Read More,/news/details/18013-u-s-space-force-awards-boeing-wgs-12-communications-satellite-production-contract
"March 08, 2024",Kymeta Awarded US Patent for an Electronically Steered Array Antenna Operating Across Multiple Satellite Networks,"World-leading flat panel satellite antenna company Kymeta announced today the ""United States Patent and Trademark Office"" awarded Kymeta Corporation two U.S. patents. The firs... Read More",/news/details/18010-kymeta-awarded-us-patent-for-an-electronically-steered-array-antenna-operating-across-multiple-satellite-networks
"March 07, 2024",Teledyne e2v HiRel Releases Radiation Tolerant S-Band Ultra-Low Noise Amplifier for Space Applications,"Teledyne e2v HiRel announces the availability of a rad-tolerant S-Band low noise amplifier, model TDLNA2050SEP that is ideal for use in demanding high reliability, space, and ... Read More",/news/details/18003-teledyne-e2v-hirel-releases-radiation-tolerant-s-band-ultra-low-noise-amplifier-for-space-applications
"March 06, 2024",Iridium Acquires Satelles to Expand its Reach as a Global Alternative PNT Service,"Iridium Communications Inc., a provider of global voice and data satellite communications, has announced that it has entered into an agreement to acquire Satelles, Inc., a pro... Read More",/news/details/17998-iridium-acquires-satelles-to-expand-its-reach-as-a-global-alternative-pnt-service
"March 01, 2024",ESA and GSMA Foundry Collaborate to Develop New Innovative Satellite and Terrestrial Network Technologies,The European Space Agency (ESA) and GSMA Foundry have announced a series of new initiatives – including up to €15 million in funding opportunities – to help the mobile and sat... Read More,/news/details/17959-esa-and-gsma-foundry-collaborate-to-develop-new-innovative-satellite-and-terrestrial-network-technologies
"March 01, 2024",Redwire Opens New Facility in DC to Support Development of Critical National Security Space Advancements,"Redwire Corporation, a leader in space infrastructure for the next-generation space economy, announced today that it has opened a new office in Chantilly, Virginia, as the com... Read More",/news/details/17979-redwire-opens-new-facility-in-dc-to-support-development-of-critical-national-security-space-advancements
"February 29, 2024",MtronPTI Advances Space Mission Success with RF Component and Sub-Assembly Testing,"MtronPTI has over 125 design wins across satellite platforms and manned spacecraft. With expertise supporting LEO, MEO, and GEO applications, MtronPTI has a well-established t... Read More",/news/details/17957-mtronpti-advances-space-mission-success-with-rf-component-and-sub-assembly-testing
"February 26, 2024",Rohde & Schwarz and MediaTek to Demonstrate 5G NTN-NR Rel.17 Connection at MWC 2024,Rohde & Schwarz and MediaTek have teamed up to demonstrate a 5G non-terrestrial network (NTN) new radio (NR) connection based on the latest 3GPP Release 17 specifications. Thi... Read More,/news/details/17939-rohde-schwarz-and-mediatek-to-demonstrate-5g-ntn-nr-rel-17-connection-at-mwc-2024
"February 26, 2024",Viasat Announces First U.S. Navy Military Sealift Command Ship Installation for Satellite and Teleport Services,"Viasat, a global leader in satellite communications, has announced the completion of the first ship installation for the U.S. Navy Military Sealift Command (MSC) under the Nex... Read More",/news/details/17934-viasat-announces-first-u-s-navy-military-sealift-command-ship-installation-for-satellite-and-teleport-services
"February 23, 2024",SpacePath Introduces 750 W Ka-Band Travelling Wave Tube Amplifier (TWTA) for Military & HTS Applications,SpacePath Communications has introduced the new STA-5575P-KA6ZN Ka-band travelling wave tube amplifier (TWTA) offering 750W of peak power. This TWTA is intended for military a... Read More,/news/details/17932-spacepath-introduces-750-w-ka-band-travelling-wave-tube-amplifier-twta-for-military-hts-applications
"February 22, 2024",AnySignal and Vast Space Collaborate to Develop Advanced Space Communication Systems,"AnySignal, a leading technology provider of Radio Frequency (RF) connectivity and sensing platforms for industrial, aerospace, and defense markets, has partnered with Vast, a ... Read More",/news/details/17920-anysignal-and-vast-space-collaborate-to-develop-advanced-space-communication-systems
"February 21, 2024",LadyBug Technologies Introduces True RMS Waveguide Power Sensor from 50 to 75 GHz,"LadyBug Technologies, a provider of microwave test instrumentation solutions, has introduced a new true RMS power sensor - the LB5975W - that operates from 50 to 75 GHz. The L... Read More",/news/details/17910-ladybug-technologies-introduces-true-rms-waveguide-power-sensor-from-50-to-75-ghz
"February 21, 2024",BICS Partners with Skylo to Provide Direct NB-IoT-to-Satellite Connectivity for Faster Global Coverage,"BICS, a global provider of cloud communication, mobility and IoT services, has recently announced its partnership with Skylo, a global non-terrestrial network provider, to con... Read More",/news/details/17917-bics-partners-with-skylo-to-provide-direct-nb-iot-to-satellite-connectivity-for-faster-global-coverage
"February 20, 2024",Intelsat to Develop Multi-Orbit Satellite Communication System for the US Air Force,"Intelsat, operator of one of the world’s largest integrated satellite and terrestrial networks, will develop and test multi-orbit satellite communications (SATCOM) systems on ... Read More",/news/details/17909-intelsat-to-develop-multi-orbit-satellite-communication-system-for-the-us-air-force
"February 16, 2024","CMT Announces OTA Test Chamber for Far-Field, mmWave and Sub-THz Antenna Measurements above 18 GHz","Copper Mountain Technologies has announced a new turnkey solution for customers needing to make far-field, mmWave and sub-THz antenna measurements above 18 GHz. The OTA antenn... Read More",/news/details/17895-cmt-announces-ota-test-chamber-for-far-field-mmwave-and-sub-thz-antenna-measurements-above-18-ghz
"February 14, 2024","AmpliTech Introduces Ka-Band Low-Noise Block for LEO, MEO, GEO And KA Band Teleport Applications","AmpliTech Group, a designer, developer, and manufacturer of state-of-the-art satellite components has announced its new Ka-Band LNB (Low-Noise Block Down Converter Unit). Feat... Read More",/news/details/17885-amplitech-introduces-ka-band-low-noise-block-for-leo-meo-geo-and-ka-band-teleport-applications
"February 14, 2024",Vitesse Systems Delivers its first Additively Manufactured Satellite Antenna for Weather Radars,Vitesse Systems has announced that it has achieved a key technical milestone by delivering its first additively manufactured satellite antenna. The passive antenna was integra... Read More,/news/details/17882-vitesse-systems-delivers-its-first-additively-manufactured-satellite-antenna-for-weather-radars
"February 13, 2024",Redwire Opens New Manufacturing & Testing Facility in Colorado to Test Performance of RF Payloads,"Redwire Corporation, one of the leaders in space infrastructure for the next-generation space economy, announced the opening of the company’s new manufacturing facility in Lon... Read More",/news/details/17862-redwire-opens-new-manufacturing-testing-facility-in-colorado-a-chanmber-to-test-performance-of-rf-payloads
"February 13, 2024",European Space Agency Partners with GSOA to Support Integration of Satellite and Terrestrial 5G/6G Networks,"The European Space Agency (ESA) has signed a Memorandum of Intent (MOI) with the Global Satellite Operators Association (GSOA), the global CEO-driven association representing ... Read More",/news/details/17858-european-space-agency-partners-with-gsoa-to-support-integration-of-satellite-and-terrestrial-5g-6g-networks
"February 12, 2024",Intelsat Achieves Historic Milestone with High-Speed Aircraft Connectivity in Arctic Circle,"Intelsat, operator of one of the world’s largest integrated satellite and terrestrial networks and leading provider of in-flight connectivity (IFC), has completed a series of ... Read More",/news/details/17854-intelsat-achieves-historic-milestone-with-high-speed-aircraft-connectivity-in-arctic-circle
"February 12, 2024",OQ Technology Signs Contract with ESA to Conduct Direct-to-Cell Feasibility Study,"OQ Technology, a global satellite narrowband IoT connectivity operator, has signed a contract with the European Space Agency for a feasibility study of Direct-to-Cell connecti... Read More",/news/details/17866-oq-technology-signs-contract-with-esa-to-conduct-direct-to-cell-feasibility-study
"February 09, 2024",AmpliTech to Showcase its Latest 5G and SATCOM Advancements at MWC Barcelona and Satellite Show 2024,"AmpliTech Group, a designer, developer, and manufacturer of state-of-the-art signal-processing components for satellite, 5G, and other communications networks, including the d... Read More",/news/details/17868-amplitech-to-showcase-its-latest-5g-and-satcom-advancements-at-mwc-barcelona-and-satellite-show-2024
"February 09, 2024",Ultra Demonstrates High-Capacity Tactical Communications to Support Combat Operations,"Ultra Intelligence & Communications, a provider of leading-edge networked radio solutions, hosted a technical demonstration for government and military customers in Sanford, F... Read More",/news/details/17853-ultra-demonstrates-high-capacity-tactical-communications-to-support-combat-operations
"February 09, 2024",Mission Microwave Appoints Alex Fitzgerald as the New EMEA Regional Vice-President,"Mission Microwave Technologies, a manufacturer of highly efficient Solid State Power Amplifiers (SSPAs) and Block Upconverters (BUCs) announced that Alex Fitzgerald has joined... Read More",/news/details/17850-mission-microwave-appoints-alex-fitzgerald-as-the-new-emea-regional-vice-president
"February 08, 2024",Eviden Collaborates with EETT to Monitor the Frequency Spectrum Used in Satellite Communications,"Eviden, an Atos Group business and the next-gen technology leader in sustainable digital transformation has announced its collaboration with The Hellenic Telecommunications an... Read More",/news/details/17852-eviden-collaborates-with-eett-to-monitor-the-frequency-spectrum-used-in-satellite-communications
"February 02, 2024",Teledyne e2v HiRel Launches Radiation-Tolerant LNA for Space Applications,"Teledyne e2v HiRel has announced the availability of a rad-tolerant UHF to S-band low noise amplifier, model TDLNA0430SEP that is ideal for use in demanding high reliability s... Read More",/news/details/17832-teledyne-e2v-hirel-launches-radiation-tolerant-lna-for-space-applications
"February 02, 2024",OQ Technology and Round Solutions Join Forces to Address Global Satellite IoT Connectivity,"In a strategic move to enhance global connectivity solutions for remote and rural areas, OQ Technology and Round Solutions GmbH have announced a partnership aimed at promoting... Read More",/news/details/17821-oq-technology-and-round-solutions-join-forces-to-address-global-satellite-iot-connectivity
"February 02, 2024","Military Space Situational Awareness Conference to Take Place in London, UK from April 22-24, 2024","Anticipation is building for the 19th Annual Military Space Situational Awareness Conference, proudly supported by the UK Space Agency. Set to take place from 22nd to 24th Apr... Read More",/news/details/17820-military-space-situational-awareness-conference-to-take-place-in-london-uk-from-april-22-24-2024
"February 01, 2024","Qorvo to Expand its Presence in the Defense, SATCOM and 5G Markets with the Acquisition of Anokiwave","Qorvo, a global provider of connectivity and power solutions, has announced it has reached a definitive agreement to acquire Anokiwave, a supplier of high-performance silicon ... Read More",/news/details/17831-qorvo-to-expand-its-presence-in-the-aerospace-defense-satcom-and-5g-markets-with-the-acquisition-of-anokiwave
"February 01, 2024",Sivers Semiconductors Receives €0.6 Million Grant from ESA to Develop Satellite Communication Chips,"Sivers Semiconductors has announced a significant milestone in its partnership with the European Space Agency (ESA), as its business unit, Sivers Wireless, secures a €0.6 mill... Read More",/news/details/17827-sivers-semiconductors-receives-0-6-million-grant-from-esa-to-develop-satellite-communication-chips
"February 01, 2024","MILSATCOM USA 2024 to Take Place from June 10-12 in Arlington, USA","MILSATCOM USA 2024, the foremost event for professionals within the US MILSATCOM Enterprise is scheduled to take place June 10-12 in Arlington, VA, USA. This conference serves... Read More",/news/details/17822-milsatcom-usa-2024-to-take-place-from-june-10-12-in-arlington-usa
"January 26, 2024",A Revolutionary GNSS Augmentation Service Redefining the Landscape of Precision Positioning Solutions,"Swiss technology company u-blox has developed PointPerfect, a cutting-edge GNSS augmentation service that promises to revolutionize precise positioning solutions. Designed as ... Read More",/news/details/17787-a-revolutionary-gnss-augmentation-service-redefining-the-landscape-of-precision-positioning-solutions
"January 26, 2024",Quectel's NTN-Enabled Module is Now Certified for Use on Skylo Satellite Network,"Quectel Wireless Solutions, a global IoT solutions provider, has announced the certification of their NTN-enabled module, the CC660D-LS, for use on the Skylo network, one of t... Read More",/news/details/17786-quectel-s-ntn-enabled-module-is-now-certified-for-use-on-skylo-satellite-network
"January 24, 2024",Booz Allen Makes Strategic Investment in Albedo to Develop VLEO Satellite Constellation,"Booz Allen Hamilton has announced that its corporate venture capital arm, Booz Allen Ventures, LLC, has made a strategic investment in Albedo, the first company to operate sat... Read More",/news/details/17791-booz-allen-makes-strategic-investment-in-albedo-to-develop-vleo-satellite-constellation
"January 22, 2024",ETL Systems Introduces Genus Redundant Amplifiers with Cutting-Edge Features for Satellite Communication,"In a rapidly evolving world of satellite communication technology, staying ahead of the curve is not just an advantage; it's a necessity. ETL Systems has demonstrated its comm... Read More",/news/details/17773-etl-systems-introduces-genus-redundant-amplifiers-with-cutting-edge-features-for-satellite-communication
"January 22, 2024",Sasken Powers World's First High-Speed Satellite Broadband Device for Critical Communications,"Sasken Technologies Limited (Sasken), a leading system designer and integrator, is proud to announce the world's first LTE-technology-based satellite product - the Mobile Sate... Read More",/news/details/17771-sasken-powers-world-s-first-high-speed-satellite-broadband-device-for-critical-communications
"January 22, 2024",GCF to Add Support for Satellite Connectivity and NTN to its 3GPP Release 17 Device Certification Program,The Global Certification Forum announced that it is adding support for satellite communications and non-terrestrial networks (NTN) to its device certification program. With th... Read More,/news/details/17758-gcf-to-add-support-for-satellite-connectivity-and-ntn-to-its-3gpp-release-17-device-certification-program
"January 19, 2024","ReliaSat's Unlocks the Potential of Ku, K, and Ka Bands in LEO Satellites with its Innovate Product Range","In the dynamic realm of satellite communications, especially for LEO satellites, frequency bands like Ku, K, and Ka have become pivotal. As we progress further into the age of... Read More",/news/details/17766-reliasat-s-unlocks-the-potential-of-ku-k-and-ka-bands-in-leo-satellites-with-its-innovate-product-range
"January 19, 2024",JEDEC JC-14.7 Subcommittee Expands Scope to Include RF Technologies,"JEDEC Solid State Technology Association, the global leader in the development of standards for the microelectronics industry, recently announced that the JC-14.7 subcommittee... Read More",/news/details/17768-jedec-jc-14-7-subcommittee-expands-scope-to-include-rf-technologies
"January 18, 2024","Guerrilla RF Reports Record Revenue in Q4 2023, with Growth Driven by Automotive and SATCOM Markets","Guerrilla RF, a leading provider of state-of-the-art radio frequency and microwave semiconductors, has announced record revenue for the fourth quarter and full year 2023. The ... Read More",/news/details/17752-guerrilla-rf-reports-record-revenue-in-q4-2023-with-growth-driven-by-automotive-and-satcom-markets
"January 17, 2024",Tower Semiconductor Collaborates with Renesas to Manufacture SiGe-based Beamforming ICs,"Tower Semiconductor, a provider of high-value analog semiconductor foundry solutions, has announced a collaboration with Renesas, leveraging Tower’s high-volume and high-perfo... Read More",/news/details/17749-tower-semiconductor-collaborates-with-renesas-to-manufacture-sige-based-beamforming-ics
"January 17, 2024",Anritsu's Expansion into Non-Terrestrial Networks to Include Skylo Test Cases,"Skylo Technologies, the leading global non-terrestrial network (NTN) service provider, announced that Anritsu Corporation, a global leader in telecommunications testing techno... Read More",/news/details/17750-anritsu-s-expansion-into-non-terrestrial-networks-to-include-skylo-test-cases
"January 16, 2024",SpaceX Launches First Starlink Satellites for Direct to Cell Service with T-Mobile,"T-Mobile announced that SpaceX’s Falcon 9 rocket launched the first set of Starlink satellites with Direct to Cell capabilities, following the live streamed webcast. This is a... Read More",/news/details/17733-spacex-launches-first-starlink-satellites-for-direct-to-cell-service-with-t-mobile
